trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
44,0,44,0,5,98.70851070003118,98.70851070003118,0.013630500005092472,[-0.008333333333333333],[0.43333333333333335],[1],[0],[0],[1.200389300007373],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
45,0,45,0,5,99.92606369999703,99.92606369999703,0.013892700022552162,[0.2638888888888889],[0.017592592592592594],[1],[0],[0],[1.0828450999688357],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
46,0,46,0,5,101.025782599987,101.025782599987,0.012962799984961748,[-0.43796296296296294],[-0.44166666666666665],[1],[0],[0],[1.5330002999980934],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
47,0,47,0,5,102.57463029999053,102.57463029999053,0.012406599998939782,[-0.33611111111111114],[-0.05],[1],[0],[0],[1.0344108999706805],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
48,0,48,0,10,103.64297720004106,103.64297720004106,0.026595300005283207,[0.2101851851851852],[0.05092592592592592],[1],[0],[0],[1.1540170999942347],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
49,0,49,0,10,104.8271258000168,104.8271258000168,0.02552369999466464,[0.17592592592592593],[0.012037037037037037],[1],[0],[0],[0.6863931000116281],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
50,0,50,0,5,105.53207890002523,105.53207890002523,0.01658370002405718,[-0.024074074074074074],[-0.037037037037037035],[1],[0],[0],[1.0134710000129417],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
51,0,51,0,10,106.57823099999223,106.57823099999223,0.02503190003335476,[0.4740740740740741],[-0.44351851851851853],[1],[0],[0],[2.9358718000003137],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
52,0,52,0,5,109.52879170002416,109.52879170002416,0.013355600007344037,[0.3787037037037037],[0.12685185185185185],[1],[0],[0],[1.2168345999671146],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
53,0,53,0,5,110.76787740003783,110.76787740003783,0.017372200032696128,[-0.03425925925925926],[0.2222222222222222],[1],[0],[0],[1.1124426999595016],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
54,0,54,0,10,111.9088625999866,111.9088625999866,0.022907699982170016,[-0.3509259259259259],[-0.19722222222222222],[1],[0],[0],[2.1740684999967925],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
55,0,55,0,5,114.0936931000324,114.0936931000324,0.012100699997972697,[0.2074074074074074],[-0.22685185185185186],[1],[0],[0],[1.6352785000344738],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
56,0,56,0,10,115.76025450002635,115.76025450002635,0.0227055000141263,[-0.18333333333333332],[0.14907407407407408],[1],[0],[0],[2.1744869999820367],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
57,0,57,0,10,117.96148380002705,117.96148380002705,0.023403000028338283,[-0.28703703703703703],[0.37962962962962965],[1],[0],[0],[1.2554109999909997],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
58,0,58,0,10,119.24591070000315,119.24591070000315,0.02746759995352477,[0.22777777777777777],[-0.2935185185185185],[1],[0],[0],[2.3047241999884136],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
59,0,59,0,5,121.56385400000727,121.56385400000727,0.01335379999363795,[-0.44722222222222224],[-0.06574074074074074],[1],[0],[0],[2.133384200045839],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
60,0,60,0,5,123.7128733000136,123.7128733000136,0.012018500012345612,[-0.36574074074074076],[0.45185185185185184],[1],[0],[0],[1.2355771999573335],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
61,0,61,0,5,124.96375430002809,124.96375430002809,0.012332300015259534,[-0.35555555555555557],[0.12129629629629629],[1],[0],[0],[1.2678479999885894],[0],['target'],Stuti,001,2023-09-15_12h02.53.556,visualsearch,2023.1.3,59.978791512390494,
