trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
130,0,130,0,5,300.0781485000043,300.0781485000043,0.012781199999153614,[0.38773148148148145],[0.24768518518518517],[1],[0],[0],[1.7535191000060877],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
131,0,131,0,10,301.8608586000046,301.8608586000046,0.02443590000621043,[0.46875],[0.26273148148148145],[1],[0],[0],[1.5404724999971222],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
132,0,132,0,10,303.428645699998,303.428645699998,0.022120200002973434,[0.3333333333333333],[-0.3194444444444444],[1],[0],[0],[2.0560617000010097],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
133,0,133,0,10,305.5099230000051,305.5099230000051,0.02283309999620542,[0.26851851851851855],[0.12037037037037036],[1],[0],[0],[1.8466456000023754],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
134,0,134,0,5,307.36906589999853,307.36906589999853,0.013022200000705197,[0.3101851851851852],[-0.11226851851851852],[1],[0],[0],[1.474845999997342],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
135,0,135,0,5,308.8603607000041,308.8603607000041,0.013730700004089158,[0.33796296296296297],[-0.3229166666666667],[1],[0],[0],[1.544636200000241],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
136,0,136,0,5,310.42158930000005,310.42158930000005,0.013628299995616544,[-0.3136574074074074],[0.14699074074074073],[1],[0],[0],[1.7599511999942479],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
137,0,137,0,5,312.19751189999806,312.19751189999806,0.012673999997787178,[0.3229166666666667],[0.3275462962962963],[1],[0],[0],[1.6899620000040159],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
138,0,138,0,10,313.91797500000393,313.91797500000393,0.025656900004833005,[0.09953703703703703],[0.20949074074074073],[1],[0],[0],[1.6779618000000482],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
139,0,139,0,10,315.6244431000014,315.6244431000014,0.02217899999959627,[0.3541666666666667],[-0.1886574074074074],[1],[0],[0],[1.6119201999972574],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
140,0,140,0,10,317.2545276000019,317.2545276000019,0.022127500000351574,[0.2743055555555556],[0.2048611111111111],[1],[0],[0],[1.6330490999971516],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
141,0,141,0,5,318.90587719999894,318.90587719999894,0.012536300004285295,[0.47337962962962965],[-0.46875],[1],[0],[0],[1.677404399997613],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
142,0,142,0,10,320.61225900000136,320.61225900000136,0.0222252000021399,[0.14467592592592593],[-0.3148148148148148],[1],[0],[0],[1.54191990000254],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
143,0,143,0,5,322.1664071999985,322.1664071999985,0.01316429999860702,[0.41782407407407407],[-0.04282407407407408],[1],[0],[0],[2.023004499998933],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
144,0,144,0,10,324.2196732000011,324.2196732000011,0.02245099999709055,[0.18171296296296297],[-0.22453703703703703],[1],[0],[0],[1.3070181000002776],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
145,0,145,0,5,325.53784740000265,325.53784740000265,0.012822400000004563,[-0.2777777777777778],[-0.30671296296296297],[1],[0],[0],[1.7114828999983729],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
146,0,146,0,5,327.2651737000051,327.2651737000051,0.013055900002655108,[-0.4351851851851852],[-0.24189814814814814],[1],[0],[0],[1.6148325999965891],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
147,0,147,0,10,328.90949730000284,328.90949730000284,0.02292759999545524,[-0.2673611111111111],[-0.27314814814814814],[1],[0],[0],[1.4167709999965155],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
148,0,148,0,5,330.33847270000115,330.33847270000115,0.013228900003014132,[0.45949074074074076],[-0.11921296296296297],[1],[0],[0],[1.7964756000001216],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
149,0,149,0,10,332.163029000003,332.163029000003,0.021773599997686688,[0.02546296296296296],[-0.06828703703703703],[1],[0],[0],[1.082625499999267],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
150,0,150,0,5,333.25908309999795,333.25908309999795,0.013328300003195181,[-0.23148148148148148],[0.2789351851851852],[1],[0],[0],[1.5938599000000977],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
151,0,151,0,10,334.8825276999996,334.8825276999996,0.022620700001425575,[-0.3414351851851852],[0.11805555555555555],[1],[0],[0],[1.2783540999953402],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
152,0,152,0,10,336.1936713000032,336.1936713000032,0.029690900002606213,[-0.3125],[-0.3761574074074074],[1],[0],[0],[1.2087250999975367],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
153,0,153,0,10,337.4283332999985,337.4283332999985,0.022453400000813417,[0.44212962962962965],[0.3101851851851852],[1],[0],[0],[2.277548799997021],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
154,0,154,0,5,339.7176726000034,339.7176726000034,0.013059299999440555,[-0.2789351851851852],[-0.47685185185185186],[1],[0],[0],[1.7600499000036507],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
155,0,155,0,5,341.50061200000346,341.50061200000346,0.015190699996310286,[0.27314814814814814],[-0.35185185185185186],[1],[0],[0],[1.3616110000002664],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
156,0,156,0,5,342.874061399998,342.874061399998,0.013106999998854008,[0.4085648148148148],[-0.2048611111111111],[1],[0],[0],[1.4200178000028245],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
157,0,157,0,10,344.32413259999885,344.32413259999885,0.02597070000047097,[0.017361111111111112],[-0.11226851851851852],[1],[0],[0],[1.5951988000015263],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
158,0,158,0,5,345.9334902999981,345.9334902999981,0.012931500001286622,[-0.4675925925925926],[0.3993055555555556],[1],[0],[0],[1.8369815000041854],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
159,0,159,0,10,347.79962779999914,347.79962779999914,0.023358900005405303,[-0.2048611111111111],[0.1111111111111111],[1],[0],[0],[1.5820183000032557],['target'],003,001,2023-09-27_10h56.34.961,Visual Search,2023.1.3,144.29473064333908,
